control	mutant	uniprot	symbol	logfc	pvalue	fdr	qvalue	score
fad	fx	P14106	C1qb	-0.17295091585418138	0.3752901286450866	0.6632786520787175	0.3696018203708498	-0.4256328587986131
fad	fx	P54227	Stmn1	0.06142257497388354	0.37599891617643244	0.6632786520787175	0.3696018203708498	0.42481340693210795
fad	fx	Q8BZ98	Dnm3	-0.04419540148542698	0.3762108298483326	0.6632786520787175	0.3696018203708498	-0.4245687067237757
fad	fx	Q9WUA2	Farsb	0.04366770150061933	0.376268264045111	0.6632786520787175	0.3696018203708498	0.4245024102512644
fad	fx	P62702	Rps4x	-0.06232558855952141	0.37732292659990774	0.6632786520787175	0.3696018203708498	-0.4232868057363857
fad	fx	P62821	Rab1A	-0.03686889865054506	0.3774372059141239	0.6632786520787175	0.3696018203708498	-0.4231552914345539
fad	fx	Q9JHK4	Rabggta	-0.04854145628878628	0.3778884474082925	0.6632786520787175	0.3696018203708498	-0.4226363848851061
fad	fx	Q8BKC5	Ipo5	-0.06695873593353649	0.3781350130717453	0.6632786520787175	0.3696018203708498	-0.42235310766830403
fad	fx	P38647	Hspa9	0.03995497443779593	0.3786060099288753	0.6632786520787175	0.3696018203708498	0.42181249639908136
fad	fx	Q8CAQ8	Immt	-0.04182847755656778	0.37869581269554875	0.6632786520787175	0.3696018203708498	-0.421709496921083
fad	fx	P60879	Snap25	-0.04621562241776049	0.3787431091898661	0.6632786520787175	0.3696018203708498	-0.42165525992340946
fad	fx	Q3UH60	Dip2b	-0.044434803140234375	0.3804949968489092	0.665506381626024	0.3708431883741738	-0.41965104941954823
fad	fx	Q91WJ8	Fubp1	0.03984016942881927	0.3824326520280039	0.6674492528734955	0.3719258234741596	0.4174450348316082
fad	fx	Q9DCS9	Ndufb10	-0.050023027894305364	0.382568245158204	0.6674492528734955	0.3719258234741596	-0.41729108115897035
fad	fx	Q61187	Tsg101	0.05329995705386407	0.3834095780471849	0.6680767396374943	0.37227548081576967	0.416337042107194
fad	fx	Q02053	Uba1	-0.03658370046446573	0.3840069912461642	0.6682781641887451	0.37238772154683547	-0.4156608687783248
fad	fx	Q99J85	Nptxr	-0.1016848846388122	0.3866522975045552	0.6714065084990339	0.37413094326549917	-0.41267940488180443
fad	fx	Q9D5V5	Cul5	0.04196805751058613	0.3867727471454421	0.6714065084990339	0.37413094326549917	0.41254413485100017
fad	fx	Q6ZQ29	Taok2	0.11562448201736245	0.3873067720898796	0.6714931161108287	0.3741792040241969	0.4119449092737856
fad	fx	Q8CIG8	Prmt5	-0.03870930604507806	0.38910642292715614	0.673192304299716	0.3751260504903045	-0.4099316002967484
fad	fx	Q9R1R2	Trim3	-0.041762474814792665	0.38925755446890575	0.673192304299716	0.3751260504903045	-0.4097629501604258
fad	fx	Q8BFZ9	Erlin2	0.04674459456679188	0.39085007183530185	0.6743412053449193	0.37576625791504564	0.40798980388679845
fad	fx	Q8CHT1	Ngef	-0.09193774787194131	0.3908942531343296	0.6743412053449193	0.37576625791504564	-0.40794071444980834
fad	fx	P12023	App	-0.11241095556030181	0.39217681620452116	0.6748719687344046	0.37606201764487435	-0.40651808351893853
fad	fx	Q8CAY6	Acat2	0.07963863126662865	0.39237546369190635	0.6748719687344046	0.37606201764487435	0.40629815806165653
fad	fx	Q99JP6	Homer3	0.07494994317186454	0.39266162852823683	0.6748719687344046	0.37606201764487435	0.40598153655149
fad	fx	Q8CJ40	Crocc	0.08041751202280283	0.39346622104676543	0.6754178819206234	0.3763662193657628	0.40509254575138237
fad	fx	Q99PV0	Prpf8	0.04960270419760923	0.3976561107224744	0.68176640985423	0.37990383884677953	0.40049233942105733
fad	fx	Q62167	Ddx3x	-0.03938738974360485	0.39871842166154037	0.6827437664747611	0.3804484557811068	-0.39933369852086853
fad	fx	Q80TB8	Vat1l	-0.09609996818277543	0.40022297982619637	0.6839023136338049	0.38109403835432254	-0.3976979788552478
fad	fx	Q9CQQ7	Atp5f1	-0.0451519239590423	0.40043840524117436	0.6839023136338049	0.38109403835432254	-0.397464276885878
fad	fx	P16858	Gapdh	-0.034332612038696086	0.4018035364627339	0.6839023136338049	0.38109403835432254	-0.39598624514005476
fad	fx	Q8K019	Bclaf1	0.04817005892815654	0.40191321359538157	0.6839023136338049	0.38109403835432254	0.39586771538739735
fad	fx	Q9CQ60	Pgls	0.06974541760438319	0.40224913732209155	0.6839023136338049	0.38109403835432254	0.39550487863143635
fad	fx	P35585	Ap1m1	-0.05310045259264713	0.4023534880498809	0.6839023136338049	0.38109403835432254	-0.39539222937058005
fad	fx	Q9CQA1	Trappc5	0.04959003862901813	0.40361013155936276	0.6846169091981897	0.3814922357342591	0.39403794048989
fad	fx	Q9CZD3	Gars	-0.07463695779607055	0.404073830748383	0.6846169091981897	0.3814922357342591	-0.39353927509456776
fad	fx	Q3URD3	Slmap	-0.06004298878854922	0.4042546853881164	0.6846169091981897	0.3814922357342591	-0.3933449378373624
fad	fx	Q8BIK4	Dock9	-0.09055792051309475	0.4068724414223098	0.6882098490887119	0.38349434618943234	-0.39054172509766494
fad	fx	Q8VD65	Pik3r4	-0.04193371292444308	0.41150305235097595	0.6947507957405297	0.387139188039662	-0.385626939031859
fad	fx	P70398	Usp9x	-0.03873115097719566	0.4117412790906383	0.6947507957405297	0.387139188039662	-0.38537559065953836
fad	fx	Q923T9	Camk2g	-0.04171783415226809	0.4122440923985714	0.6947540172014807	0.38714098314919554	-0.38484555923004127
fad	fx	Q9JL62	Gltp	0.045942846967328296	0.41467450707387266	0.6980018705236182	0.3889507994253526	0.38229266291776853
fad	fx	Q61792	Lasp1	0.04595487898059484	0.4157433062030981	0.698952685701451	0.38948062654923465	0.3811747345376927
fad	fx	Q61151	Ppp2r5e	0.03895105298447099	0.4163146042221675	0.6990658063633732	0.3895436612970545	0.3805783538937866
fad	fx	Q62442	Vamp1	0.03959808320271936	0.41725464713020455	0.6991370355888357	0.3895833526866567	0.37959881771218934
fad	fx	Q3UHL1	Camkv	0.04470917881133057	0.4178870661677123	0.6991370355888357	0.3895833526866567	0.3789410702991057
fad	fx	P26638	Sars	0.0371282039717976	0.4183131055334065	0.6991370355888357	0.3895833526866567	0.37849852898455855
fad	fx	P61021	Rab5b	-0.05325499372157835	0.41837328012886343	0.6991370355888357	0.3895833526866567	-0.37843605995135665
fad	fx	Q91ZX7	Lrp1	-0.04341234431079624	0.41912662257809863	0.699553099297019	0.3898151977844189	-0.37765475226195877
fad	fx	Q6ZWN5	Rps9	-0.039720116076204875	0.42096680269228093	0.7009022396115232	0.39056698546010205	-0.37575215113824517
fad	fx	P16332	Mut	0.04281551037104297	0.42139422939703264	0.7009022396115232	0.39056698546010205	0.3753114159471534
fad	fx	Q02248	Ctnnb1	-0.049798260052590526	0.4225648155040036	0.7009022396115232	0.39056698546010205	-0.3741066669349079
fad	fx	P06745	Gpi	0.035275612227155556	0.4226019249744102	0.7009022396115232	0.39056698546010205	0.3740685290445665
fad	fx	Q61656	Ddx5	0.038336263637607365	0.4227253923541877	0.7009022396115232	0.39056698546010205	0.3739416640988477
fad	fx	O88712	Ctbp1	0.03798980878940238	0.42324673740516683	0.7009022396115232	0.39056698546010205	0.3734063809624268
fad	fx	Q76MZ3	Ppp2r1a	0.03401227326285384	0.4237998640926607	0.7009022396115232	0.39056698546010205	0.37283918689803447
fad	fx	Q8BLR2	Cpne4	-0.044430519632090604	0.42487659375680076	0.7009022396115232	0.39056698546010205	-0.3717371933215385
fad	fx	P19253	Rpl13a	-0.03729775681190227	0.42498011784690404	0.7009022396115232	0.39056698546010205	-0.37163138738817486
fad	fx	P12787	Cox5a	0.06214362782268329	0.42498830822876066	0.7009022396115232	0.39056698546010205	0.3716230175769301
fad	fx	P26041	Msn	-0.08483586280023897	0.42552371916579623	0.7009517796709731	0.39059459089576104	-0.3710762268468014
fad	fx	P21279	Gnaq	-0.05045520582836281	0.42631992877864733	0.7014302980023532	0.39086123787106275	-0.37026436532072654
fad	fx	Q811D0	Dlg1	-0.05385711123586745	0.4268420008515128	0.7014571743851282	0.3908762143217105	-0.3697328529762883
fad	fx	Q99MR8	Mccc1	-0.04104683392364842	0.4290173700252694	0.7041977422781641	0.3924033536001141	-0.36752512377469665
fad	fx	Q6GQT9	Nomo1	-0.05534280972734751	0.43083830835230585	0.7062286345637779	0.39353503706887566	-0.3656856879962841
fad	fx	Q9D394	Rufy3	-0.03944320259296995	0.43127300178480166	0.7062286345637779	0.39353503706887566	-0.3652477283666367
fad	fx	Q60854	Serpinb6	0.03689046334801094	0.432368851964376	0.7071882048049405	0.3940697428170494	0.36414560035064786
fad	fx	P47963	Rpl13	-0.04428212391949164	0.43325614935107704	0.7078048046524663	0.3944133335920151	-0.36325526448181833
fad	fx	P33173	Kif1a	-0.044645496745375005	0.4337800727601253	0.7078270128450516	0.3944257087655276	-0.36273040273468166
fad	fx	Q62448	Eif4g2	-0.03875336983011905	0.4344687998709067	0.7081177737026412	0.3945877307783286	-0.36204140570649307
fad	fx	Q91V92	Acly	-0.05274663045578594	0.4356552704848977	0.7084772874020899	0.39478806425408286	-0.3608570275758208
fad	fx	Q9D0I9	Rars	-0.043751683530235036	0.4357685620796683	0.7084772874020899	0.39478806425408286	-0.3607441045344867
fad	fx	O08599	Stxbp1	-0.051324790532441045	0.4362869037478131	0.7084772874020899	0.39478806425408286	-0.3602278232621412
